"TreeTopology","Netname","netType"
"(((l3:1.018591886,(l6:0.1030040085,l8:0.10300400845)i17:0.9155878775)i16:0.3981334903,(l4:0.2143326934,l9:0.21433269338)i14:1.2023926829)i12:0.2581209431,((t9:0.1383695856,l5:0.1383695856)i6:0.4280042872,(((l7:0.04053916278,l10:0.04053916278)i10:0.03963669042,l11:0.08017585320000001)i8:0.1519940309,t1:0.1071205052)i7:0.3342039887)i5:1.1084724466)i3;","BLNF_42.nwk.txt","LN"
"((l2:0.25824428854000003,l3:0.25824428854000003)i6:2.2070642152,((l1:0.55697494,(l7:0.03786440464,l8:0.03786440464)i13:0.5191105354)i12:0.6912636245,((l4:0.1599846494,(l5:0.08567336842,l6:0.08567336842)i16:0.07431128095)i15:0.4202556348,(l9:0.005424074041,l10:0.005424074041)i17:0.5748162102)i14:0.6679982803)i11:1.21706993929)i3;","BLNF_24.nwk.txt","LN"
"((((l6:0.3049843676,l5:0.3049843676)i16:0.1619397433,l4:0.466924111)i15:0.03825374501,((l11:0.0002017308105,l12:0.0002017308105)i14:0.35698098,(l7:0.2988831969,l8:0.2988831969)i13:0.05829951384)i11:0.1479951452)i9:1.1286869139,(l3:0.7929758436,(l9:0.07836168946,l10:0.07836168946)i7:0.71461415414)i5:0.8408889262)i3;","LN_49.nwk.txt","LN"
"((l4:0.7135730994,l5:0.7135730994)i4:1.476784431,((((l8:0.41253457800000004,t26:0.4125345779)i10:0.5723246918,(l10:0.153868473,l11:0.153868473)i13:0.8309907967)i9:0.6118505288,l9:1.5967097986)i6:0.401851355,(l3:1.254461496,(l6:0.2386776293,l7:0.2386776293)i15:1.015783867)i14:0.7440996576)i5:0.1917963765)i3;","LN_41.nwk.txt","LN"
"(t8:0.02061923737,(((l4:1.265239291,(l9:0.07092730345,(t27:0.03591130227,(l10:0.030026391,l11:0.030026391)i10:0.005884911273)i9:0.03501600117)i8:1.1943119875)i6:0.3110794406,l3:1.576318732)i5:0.231132633,((l6:0.4622902396,(l7:0.09278234553,l8:0.09278234553)i14:0.3695078941)i13:0.1655671647,l5:0.6278574043)i11:1.17959396)i4:0.3653418526)i3;","LNF_12.nwk.txt","LN"
"((t12:0.3501647834,((l8:0.2136357971,((l10:0.05840908472,l11:0.05840908472)i9:0.08569928441,l9:0.1441083691)i8:0.06952742799)i7:0.3002911122,l4:0.5139269093)i6:0.6275324122)i4:0.706056097,(((l5:0.5091647537,l6:0.50916475375)i13:0.4379290155,l2:0.9470937692)i12:0.15242521806,(l7:0.9564720764,l3:0.95647207632)i16:0.143046910942)i10:0.7479964313)i3;","BLNF_92.nwk.txt","LN"
"((l3:0.5821433786,(((((l10:0.004719389862,l11:0.004719389862)i16:0.04294734739,t11:0.04766673725)i15:0.2159747851,l6:0.2636415223934)i13:0.04710839249,l5:0.3107499149)i12:0.008505975677,l4:0.3192558906)i11:0.262887488)i9:0.9714631091,((l9:0.02934386333,l8:0.02934386333)i7:0.06590489307,l7:0.0952487564)i6:1.4583577313)i4;","LN_7.nwk.txt","LN"
"((((t23:0.02462026964,((t16:0.01631837853,l11:0.01631837853)i12:0.1726691884,((l9:0.128832036,l10:0.128832036)i15:0.03573945763,l8:0.1645714936)i14:0.02441607328)i11:0.2650978701)i10:0.09683705877,t37:0.5509224957700001)i7:0.08824117364,(l6:0.1689524063,l7:0.1689524063)i6:0.4702112632)i4:0.2031270763,(l4:0.2347836984,l5:0.2347836984)i16:0.6075070472)i3;","LNF_62.nwk.txt","LN"
"(((l3:0.3584056649,(l9:0.004869380451,l10:0.004869380451)i7:0.353536284464)i5:0.4833322622,((l4:0.1324019855,l5:0.1324019855)i10:0.7083742108,l2:0.8407761964)i8:0.0009617307919)i4:1.496858813,(((l6:0.04303791504,l7:0.04303791504)i14:0.5306597721,l1:0.5736976872)i12:0.2546328416,l8:0.828330528714)i11:1.510266211)i3;","LN_59.nwk.txt","LN"
"((((l10:0.06994785198,l11:0.06994785198)i6:0.2337309835,l5:0.3036788355)i5:1.042105101,((l4:0.5757031737,l3:0.5757031737)i8:0.08889659633,(l6:0.1787672788,l7:0.1787672788)i12:0.4858324912)i7:0.6811841663)i4:0.3734747823,(l2:0.4039041606,(l9:0.1010209697,l8:0.1010209697)i14:0.3028831909)i13:1.315354558)i3;","LN_51.nwk.txt","LN"
"(t38:0.2684168385,(((((l5:0.5683100599,l6:0.5683100599)i14:0.5269965233,l4:1.09530658291)i12:0.07732029354,(t19:0.3654068143,(l7:0.3601766865,l11:0.36017668657)i16:0.005230127778)i15:0.8072200625)i11:0.070748865,t13:0.205283754)i10:0.3060706624,(l8:0.3519244758,(l9:0.1607329377,(l10:0.1592878126,l12:0.15928781267)i8:0.001445125102)i7:0.1911915381)i6:1.1975219284)i4:0.8611411814)i3;","BLNF_13.nwk.txt","LN"
"((t19:0.03960776916,((((((l7:0.1637119458,l12:0.16371194584999998)i11:0.04037225975,l6:0.2040842056)i10:0.4073719949,(l5:0.2808439409,l11:0.28084394095)i14:0.3306122596)i8:0.09474988539,(l3:0.3003680893,l4:0.3003680893)i17:0.4058379966)i7:0.7218944097,(l8:0.1474107444,l9:0.1474107444)i18:1.280689751)i6:0.3202827679,l10:1.7483832638)i5:0.1192034769)i4:2.587030911,t27:0.455489787)i3;","BLNF_79.nwk.txt","LN"
